Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
TCV_Control_1_R1 - polya	(1, 0.002376829843828919)	(2, 0.008962135376685833)	(3, 0.011399301789533075)	(4, 0.014314850999597017)	(5, 0.01560346772363119)	(6, 0.02036574692114879)	(7, 0.02449018238904412)	(8, 0.030868619685266788)	(9, 0.03504477221232068)	(10, 0.05283113080793618)	(12, 0.05950586375558811)	(14, 0.06416039907985871)	(16, 0.06901533800836873)	(18, 0.07422690915732633)	(20, 0.07771888808926175)	(22, 0.08113544630992425)	(24, 0.08437207226226427)	(26, 0.08698593862723661)	(28, 0.08982067993236528)	(30, 0.09340208627909571)	(32, 0.09621958856450488)	(34, 0.09964799861122457)	(36, 0.10284475933046319)	(38, 0.10557714395600723)	(40, 0.11029848048169097)	(42, 0.11462439699255819)	(44, 0.11899772080765411)	(46, 0.12656672790325618)	(48, 0.1292775637541508)	(50, 0.13256698420438184)	(52, 0.13556226388064857)	(54, 0.13778286510826931)	(56, 0.14108629226202252)	(58, 0.14376049519601314)	(60, 0.1461114665102628)	(62, 0.1489925376808877)	(64, 0.15224532521421474)	(66, 0.1552072042897749)	(68, 0.15768315849699108)	(70, 0.16019359074364625)	(72, 0.16224503409026925)	(74, 0.1645011907960615)	(76, 0.16666253289339644)	(78, 0.1687958615836871)	(80, 0.17107033474793137)	(82, 0.17387706264601585)	(84, 0.17727961416315624)	(86, 0.17966290863937998)	(88, 0.1819503110684139)	(90, 0.1842237067939257)	(92, 0.18643353363422177)	(94, 0.18882329274284032)	(96, 0.1911365537014535)	(98, 0.1933517677354119)	(100, 0.19580832804544362)	(102, 0.19793411466460703)	(104, 0.2001170055365913)	(106, 0.20222016594237285)	(108, 0.20447847752563006)	(110, 0.206800357994103)	(112, 0.2090371208027108)	(114, 0.21123509581694971)	(116, 0.21350094947133422)	(118, 0.21600599452432706)	(120, 0.21838497924562095)	(122, 0.22034376286125146)	(124, 0.22262362321915807)	(126, 0.22504462805101827)	(128, 0.2275410535941514)	(130, 0.23021094677321213)	(132, 0.23293794420509384)	(134, 0.2353988142700554)	(136, 0.2380396166033395)	(138, 0.240502641545766)
TCV_Control_1_R2 - polya	(1, 0.0027259199931492137)	(2, 0.009684019327440764)	(3, 0.012037145519155341)	(4, 0.01508845200951051)	(5, 0.016506361381441088)	(6, 0.020389450573263128)	(7, 0.024391058025656876)	(8, 0.03048505149650745)	(9, 0.03469568206300039)	(10, 0.050736589912014414)	(12, 0.05732620519980121)	(14, 0.06202060575717319)	(16, 0.06689817089906508)	(18, 0.0719405841670249)	(20, 0.07547781552572405)	(22, 0.07899349810977381)	(24, 0.08238635267832198)	(26, 0.08488277822145507)	(28, 0.08776923658574233)	(30, 0.09137219170712216)	(32, 0.09418430679886897)	(34, 0.09750281809487671)	(36, 0.10051641422959542)	(38, 0.10329728359810061)	(40, 0.10785377199771644)	(42, 0.11202238245364304)	(44, 0.11616297950252541)	(46, 0.12348740800585678)	(48, 0.12604955731167056)	(50, 0.1289187766562383)	(52, 0.1316942588310811)	(54, 0.13392671188475905)	(56, 0.1371407116237172)	(58, 0.1398526249133443)	(60, 0.1422154480536511)	(62, 0.1449241290270808)	(64, 0.1478989373674306)	(66, 0.15051064885493798)	(68, 0.1527905092128446)	(70, 0.15528908963344262)	(72, 0.15716167815047555)	(74, 0.15929823915696367)	(76, 0.1615479312303611)	(78, 0.16365971114600242)	(80, 0.16591048065813233)	(82, 0.16860300005057496)	(84, 0.1714506706204933)	(86, 0.17358076699458658)	(88, 0.1756548365545914)	(90, 0.17781294633572892)	(92, 0.17981805981685567)	(94, 0.1821076171233545)	(96, 0.1842560299558998)	(98, 0.18621481357153033)	(100, 0.18839016237238737)	(102, 0.19031554538731132)	(104, 0.19224308327970024)	(106, 0.19416738885589174)	(108, 0.19619189623420294)	(110, 0.19820778410265438)	(112, 0.20031094450843592)	(114, 0.20229127689871587)	(116, 0.20429100318618026)	(118, 0.20643295138633072)	(120, 0.20873112820268933)	(122, 0.21059509720986253)	(124, 0.21274351004240777)	(126, 0.2150039765031299)	(128, 0.21726767528004948)	(130, 0.21966174414359793)	(132, 0.22214847273813879)	(134, 0.22442294590238304)	(136, 0.22680193062367693)	(138, 0.22894818857875726)
TCV_Control_2_R1 - polya	(1, 0.0036219775702721556)	(2, 0.012131519059498773)	(3, 0.01522072899879485)	(4, 0.01906802726675254)	(5, 0.020807418820848356)	(6, 0.027164831777041168)	(7, 0.032829436232873786)	(8, 0.042339233155751145)	(9, 0.048344977359481484)	(10, 0.07454535231839204)	(12, 0.08496380233520687)	(14, 0.09160444551419131)	(16, 0.09824087709134985)	(18, 0.10464777636899697)	(20, 0.10907522278847209)	(22, 0.11340896106732098)	(24, 0.11766057311056487)	(26, 0.12088139560692025)	(28, 0.12433385620370002)	(30, 0.12858336244603097)	(32, 0.13224640313410563)	(34, 0.13661172842664873)	(36, 0.1407738439310923)	(38, 0.14453164566024967)	(40, 0.15042262371422427)	(42, 0.15641994471430282)	(44, 0.16256046017646192)	(46, 0.1735727460507283)	(48, 0.17739898630955653)	(50, 0.18179168701396797)	(52, 0.18574111662620368)	(54, 0.18885770197736812)	(56, 0.19319775765895586)	(58, 0.19707243133878188)	(60, 0.2006923031081411)	(62, 0.2049470738527544)	(64, 0.20943242979733562)	(66, 0.21368509474103597)	(68, 0.21719862356429126)	(70, 0.22102170512175)	(72, 0.22413934337337094)	(74, 0.22749809582952446)	(76, 0.2309853021413679)	(78, 0.23440406992354046)	(80, 0.2380776396161799)	(82, 0.24226713053249177)	(84, 0.24685040621952511)	(86, 0.2504544844820372)	(88, 0.25389009867151335)	(90, 0.25735203537240137)	(92, 0.26066761890983947)	(94, 0.2643253950956318)	(96, 0.2677146816650231)	(98, 0.2710776457230025)	(100, 0.27451325991247866)	(102, 0.2777098656983352)	(104, 0.2811812785033315)	(106, 0.28462531589645945)	(108, 0.2881525324256489)	(110, 0.2916892250589467)	(112, 0.29525961050685157)	(114, 0.2986752195876547)	(116, 0.3021518968949334)	(118, 0.3058328368907681)	(120, 0.30967802935781286)	(122, 0.31299361289525096)	(124, 0.3166913992983893)	(126, 0.32060081869327894)	(128, 0.32453656059958047)	(130, 0.32854600553783525)	(132, 0.3329313359390514)	(134, 0.3369365692754802)	(136, 0.34114922400183456)	(138, 0.34503758538759477)
TCV_Control_2_R2 - polya	(1, 0.00375043142596204)	(2, 0.012173635077757752)	(3, 0.01484800223720289)	(4, 0.018491037816604536)	(5, 0.020373623832780876)	(6, 0.024915836402011712)	(7, 0.030171915480732236)	(8, 0.03943954529862047)	(9, 0.04500728291245743)	(10, 0.06797946507181729)	(12, 0.07798096650786823)	(14, 0.08415096318280858)	(16, 0.09067684021203731)	(18, 0.09723535715541674)	(20, 0.10191128808261984)	(22, 0.1062997771852054)	(24, 0.11066931407957442)	(26, 0.11386486696497441)	(28, 0.11761950999276236)	(30, 0.12201221069717383)	(32, 0.12575211311857112)	(34, 0.13000372516181502)	(36, 0.13411740724526072)	(38, 0.1377183268064034)	(40, 0.14355981853892374)	(42, 0.14878852220577593)	(44, 0.15456789281136424)	(46, 0.16466415528849787)	(48, 0.16826507484964054)	(50, 0.17245456576595242)	(52, 0.17660088776354887)	(54, 0.1798375037667514)	(56, 0.18420177615883804)	(58, 0.1878227008286537)	(60, 0.1911509191715695)	(62, 0.19515404670708542)	(64, 0.19968678317220798)	(66, 0.2039025965999317)	(68, 0.20726134905608526)	(70, 0.21088648532772686)	(72, 0.21383144790448594)	(74, 0.21708385741453556)	(76, 0.2202983625081521)	(78, 0.22343284716707656)	(80, 0.22682423953738082)	(82, 0.2306757494071644)	(84, 0.23462728482031306)	(86, 0.23782915510845193)	(88, 0.24087835483040193)	(90, 0.244133923041821)	(92, 0.2472020749719876)	(94, 0.25046922508842784)	(96, 0.25370162948980446)	(98, 0.2569456157962023)	(100, 0.25998639231450055)	(102, 0.26295557160175853)	(104, 0.2661753411976574)	(106, 0.2692940323497348)	(108, 0.2724274641082028)	(110, 0.27559248288036503)	(112, 0.2786953805255953)	(114, 0.2818035426731079)	(116, 0.284972773047096)	(118, 0.28810409900465106)	(120, 0.2916629025475348)	(122, 0.29481844521558875)	(124, 0.2980182097028147)	(126, 0.3012727250137772)	(128, 0.30461252526171423)	(130, 0.3081744875059673)	(132, 0.3122197310597422)	(134, 0.3156827206610867)	(136, 0.31939103606878977)	(138, 0.32285929017241666)
TCV_Control_3_R1 - polya	(1, 0.003467850913492939)	(2, 0.01078030691379657)	(3, 0.013486086885805874)	(4, 0.01691968741990629)	(5, 0.018531595900066897)	(6, 0.02392817130310128)	(7, 0.028494175005866984)	(8, 0.03581733424973078)	(9, 0.04102339191739425)	(10, 0.06103310575311971)	(12, 0.0689192556082481)	(14, 0.07476857821387739)	(16, 0.08059114271060627)	(18, 0.08682685240875747)	(20, 0.0910278755061216)	(22, 0.09540657244658446)	(24, 0.09954230575823159)	(26, 0.10276184142112874)	(28, 0.1064683746660133)	(30, 0.11117566118377317)	(32, 0.11483617048134906)	(34, 0.11938290834570646)	(36, 0.12355610300981418)	(38, 0.12702181327459505)	(40, 0.13251578819402693)	(42, 0.13788881646122897)	(44, 0.14319762526707003)	(46, 0.15231357780726118)	(48, 0.15584778883082712)	(50, 0.15990645878884108)	(52, 0.16384846339204928)	(54, 0.16693956013222444)	(56, 0.17108813733614375)	(58, 0.17499161026253535)	(60, 0.17818759878960017)	(62, 0.1820878607429237)	(64, 0.1862417895686231)	(66, 0.1901987787128155)	(68, 0.19340547048344048)	(70, 0.19703279972597984)	(72, 0.20007894284320232)	(74, 0.20338945607636089)	(76, 0.20660578076618996)	(78, 0.209752534372878)	(80, 0.21321931496201493)	(82, 0.217088537509014)	(84, 0.2208421650255633)	(86, 0.22413341242031354)	(88, 0.2272865879731377)	(90, 0.23043013060675765)	(92, 0.23355119642890132)	(94, 0.23675039592903416)	(96, 0.23987574304860187)	(98, 0.2429486442747248)	(100, 0.24611573404417714)	(102, 0.24916615845882367)	(104, 0.2522915055783914)	(106, 0.2554371888607234)	(108, 0.258748772418238)	(110, 0.26214170062680975)	(112, 0.26546077645481647)	(114, 0.268577560979536)	(116, 0.271915902645951)	(118, 0.27551754410394597)	(120, 0.2793450240010604)	(122, 0.28255813771782146)	(124, 0.28599280857627785)	(126, 0.28965652884692183)	(128, 0.2934005234442669)	(130, 0.2970546107957067)	(132, 0.30105013161671573)	(134, 0.30476629778080444)	(136, 0.3086719113559081)	(138, 0.3122756934626151)
TCV_Control_3_R2 - polya	(1, 0.0038916993584754093)	(2, 0.011940538515718281)	(3, 0.014588520972502704)	(4, 0.017996433722058728)	(5, 0.019711093340396904)	(6, 0.023938874546661444)	(7, 0.028357173488296892)	(8, 0.03586228787268346)	(9, 0.04109403332489133)	(10, 0.0591589678057351)	(12, 0.06675827073345111)	(14, 0.07250591252525886)	(16, 0.07841945459224914)	(18, 0.08451281115105014)	(20, 0.08891612555170136)	(22, 0.09348962152495918)	(24, 0.09779767705792494)	(26, 0.10119381623956479)	(28, 0.10496563927016637)	(30, 0.1096044250291412)	(32, 0.11322212135247642)	(34, 0.11752482526366209)	(36, 0.12169909025212583)	(38, 0.12541632674057057)	(40, 0.13116717950544637)	(42, 0.13651773096117203)	(44, 0.14170024149300314)	(46, 0.15052506580835787)	(48, 0.15403358904737943)	(50, 0.15804623505808468)	(52, 0.1619368640922041)	(54, 0.16496053039795022)	(56, 0.169138006359482)	(58, 0.17273643684440892)	(60, 0.17606514559161976)	(62, 0.17994400105782296)	(64, 0.18422636880624432)	(66, 0.18822938189774546)	(68, 0.19145748015549074)	(70, 0.1951490288593911)	(72, 0.19792973153632154)	(74, 0.20096945270740796)	(76, 0.20403914296046277)	(78, 0.20706923121234505)	(80, 0.21018601573706464)	(82, 0.21385829860255667)	(84, 0.21737217346335833)	(86, 0.2204354417702771)	(88, 0.22336813050576187)	(90, 0.22633935091806323)	(92, 0.22913396781162187)	(94, 0.2322068690377448)	(96, 0.23524980118189925)	(98, 0.23811934078037905)	(100, 0.24113658513998912)	(102, 0.2439718743590764)	(104, 0.24695165736622587)	(106, 0.24966171863565928)	(108, 0.2525804931545158)	(110, 0.2555602761616653)	(112, 0.2585250746278306)	(114, 0.2613389573597975)	(116, 0.2643958037205802)	(118, 0.26752971343499604)	(120, 0.2709023054808035)	(122, 0.27368300815773394)	(124, 0.2766435253264752)	(126, 0.27970893428210597)	(128, 0.282788257454365)	(130, 0.28601100409033015)	(132, 0.28960729392654505)	(134, 0.2926919687205841)	(136, 0.2959115043834813)	(138, 0.29898761658267226)
TCV_Stressed_1_R1 - polya	(1, 0.00412747369489063)	(2, 0.011599708169621959)	(3, 0.013845753925852196)	(4, 0.016514756350463452)	(5, 0.01816525967132961)	(6, 0.02237051850063514)	(7, 0.026655993249806036)	(8, 0.03401884237926641)	(9, 0.03976278839871668)	(10, 0.05479598101712134)	(12, 0.06131291680981967)	(14, 0.06688913863318781)	(16, 0.07255165334004748)	(18, 0.0786456324643648)	(20, 0.08292624564263477)	(22, 0.08737822919516255)	(24, 0.09177187389687919)	(26, 0.09535849782904121)	(28, 0.09915416930994328)	(30, 0.10395253978916241)	(32, 0.10788311986256534)	(34, 0.1118234230777701)	(36, 0.11572483372576745)	(38, 0.11913644110549595)	(40, 0.12356411680351909)	(42, 0.12775236013467134)	(44, 0.1321289893382347)	(46, 0.13871641790899653)	(48, 0.14248291996449303)	(50, 0.14611694421293914)	(52, 0.14989438480296272)	(54, 0.15318323751744273)	(56, 0.15688653915122708)	(58, 0.1602215767892659)	(60, 0.16338889023122263)	(62, 0.16694026777435292)	(64, 0.1708100782114942)	(66, 0.17451581063072902)	(68, 0.1775883234401176)	(70, 0.181057054277932)	(72, 0.18397035064031508)	(74, 0.187191141362182)	(76, 0.19021868464073696)	(78, 0.1931538580721742)	(80, 0.19660800419728586)	(82, 0.2002797056202142)	(84, 0.20362811257823057)	(86, 0.20680271837653869)	(88, 0.2100526785238112)	(90, 0.2134193163727061)	(92, 0.2164116132622293)	(94, 0.21984266692556154)	(96, 0.2232469819489386)	(98, 0.2263316486855795)	(100, 0.22955973176379785)	(102, 0.23291543107816565)	(104, 0.23630880756701567)	(106, 0.2397325688739965)	(108, 0.24304816022843162)	(110, 0.24646219839361058)	(112, 0.2502299158418323)	(114, 0.25372538531960187)	(116, 0.2574311177388367)	(118, 0.26129485121235185)	(120, 0.26517924636219586)	(122, 0.2686795774108664)	(124, 0.2722333857394471)	(126, 0.2759622106204614)	(128, 0.2799243909047203)	(130, 0.28366050814208604)	(132, 0.2881513842618213)	(134, 0.2920856105133999)	(136, 0.29618634556833534)	(138, 0.2999200320202506)
TCV_Stressed_1_R2 - polya	(1, 0.004280613178269965)	(2, 0.012290051237554197)	(3, 0.014587143488244211)	(4, 0.017552701737812273)	(5, 0.019130281495164464)	(6, 0.022380241642437)	(7, 0.026534453977282754)	(8, 0.03396779588480663)	(9, 0.039728757402410164)	(10, 0.052963168787470254)	(12, 0.05937922698397427)	(14, 0.06470264712049398)	(16, 0.07023389941302852)	(18, 0.07628777057741315)	(20, 0.08064009192647184)	(22, 0.08505561369724265)	(24, 0.08964615202044698)	(26, 0.0931100212873605)	(28, 0.09703573978986249)	(30, 0.10189852608351897)	(32, 0.10588987579318353)	(34, 0.10986664079014528)	(36, 0.11379600547082297)	(38, 0.11746892228647653)	(40, 0.12216155359860041)	(42, 0.12634979692975268)	(44, 0.13060002528989184)	(46, 0.13697962170463884)	(48, 0.14053221464049437)	(50, 0.14412126935810687)	(52, 0.14775529360655298)	(54, 0.15097243815024422)	(56, 0.1546016008277894)	(58, 0.15785520715323764)	(60, 0.16090948907174768)	(62, 0.16419104942987628)	(64, 0.16771568833305145)	(66, 0.17112121874915376)	(68, 0.17414390045680778)	(70, 0.17744612249126535)	(72, 0.18021600251207093)	(74, 0.18320222243796794)	(76, 0.1863197047781901)	(78, 0.18925609360235257)	(80, 0.19227999070273183)	(82, 0.1954460887519633)	(84, 0.19855141716493313)	(86, 0.2014476980291629)	(88, 0.20435613282064502)	(90, 0.20742621484458312)	(92, 0.2102009564362896)	(94, 0.2130704986605643)	(96, 0.21607373408461455)	(98, 0.21880593693093792)	(100, 0.2217642028241546)	(102, 0.224439282212392)	(104, 0.22754461062536185)	(106, 0.23062198500565134)	(108, 0.23348301948084937)	(110, 0.23652393207938188)	(112, 0.23957213703426578)	(114, 0.24249394114572545)	(116, 0.24571230108214193)	(118, 0.24898170751301818)	(120, 0.2522802833693001)	(122, 0.25513037930997096)	(124, 0.2580849990250119)	(126, 0.2612960666050771)	(128, 0.2645545345014262)	(130, 0.2676063856344858)	(132, 0.27129996412646834)	(134, 0.27437126154313163)	(136, 0.27750211320333135)	(138, 0.28045308674019664)
TCV_Stressed_2_R1 - polya	(1, 0.003929698319309671)	(2, 0.011762769329724138)	(3, 0.014266097248115074)	(4, 0.01738448757092902)	(5, 0.018908980767884113)	(6, 0.023501606270171116)	(7, 0.028343128620940582)	(8, 0.03568558565117327)	(9, 0.04089327355788328)	(10, 0.057843388263431855)	(12, 0.06494173492303751)	(14, 0.0702894273070189)	(16, 0.0756514791245666)	(18, 0.08140841536518745)	(20, 0.08532973734825011)	(22, 0.08920798103061389)	(24, 0.09306588218209208)	(26, 0.09600956606318276)	(28, 0.09956711572923259)	(30, 0.10389768156893468)	(32, 0.10728291803218898)	(34, 0.1114304010939208)	(36, 0.11539001489982692)	(38, 0.11860293816028564)	(40, 0.12343967403319968)	(42, 0.1281340121899146)	(44, 0.13272185121434618)	(46, 0.14009542035063915)	(48, 0.1435081790615622)	(50, 0.14724522164719073)	(52, 0.15092243325962634)	(54, 0.154034840485121)	(56, 0.15788077544196064)	(58, 0.161231309940763)	(60, 0.16444901967907719)	(62, 0.16813460762775984)	(64, 0.17194225076175598)	(66, 0.175557238162071)	(68, 0.1786708420070295)	(70, 0.18209437029312725)	(72, 0.18507155951920595)	(74, 0.18820789913397779)	(76, 0.19125209905003254)	(78, 0.19419099645326776)	(80, 0.19740032985533493)	(82, 0.20099258148583665)	(84, 0.20430003768394017)	(86, 0.2072556877596694)	(88, 0.21017424263201906)	(90, 0.21323280198164013)	(92, 0.21613340756203192)	(94, 0.21953061021992476)	(96, 0.22280456107304025)	(98, 0.22584995760855886)	(100, 0.2291801495764757)	(102, 0.2323284553858861)	(104, 0.2356383048229173)	(106, 0.2387076337477131)	(108, 0.2419899609370756)	(110, 0.24514065998541368)	(112, 0.24830212860892653)	(114, 0.25152462482509613)	(116, 0.25506781505757964)	(118, 0.2586110052900632)	(120, 0.26212428003595023)	(122, 0.26526899598696907)	(124, 0.2687020972287777)	(126, 0.27225366379750826)	(128, 0.275820786419269)	(130, 0.27936278003228865)	(132, 0.2831716197857486)	(134, 0.28682609562837097)	(136, 0.29057390778917425)	(138, 0.2940752163404228)
TCV_Stressed_2_R2 - polya	(1, 0.004188168123502999)	(2, 0.012382618212002582)	(3, 0.014864406980044072)	(4, 0.01768364243689352)	(5, 0.019473785154825087)	(6, 0.023207237882062047)	(7, 0.027790290428638186)	(8, 0.0350178719903405)	(9, 0.04012265062315873)	(10, 0.05495235563875092)	(12, 0.06170368265383776)	(14, 0.0666708500483123)	(16, 0.0719874303262334)	(18, 0.07748948662105248)	(20, 0.08156277927602512)	(22, 0.08560495982493745)	(24, 0.08964953361277749)	(26, 0.09278228336915773)	(28, 0.0964295794949969)	(30, 0.10079365067968704)	(32, 0.10429615585039939)	(34, 0.10824380346166694)	(36, 0.11209931137421741)	(38, 0.11531941435145929)	(40, 0.12008435305654185)	(42, 0.12453936732048518)	(44, 0.12897044919515135)	(46, 0.1362602549689743)	(48, 0.13956412130868623)	(50, 0.14310611492170588)	(52, 0.14667563078239432)	(54, 0.14964085381383443)	(56, 0.1535418332660115)	(58, 0.15681817735805473)	(60, 0.15983126516804919)	(62, 0.1633014616132374)	(64, 0.16695474083639583)	(66, 0.1704608358654998)	(68, 0.17331477328680112)	(70, 0.1765827410425973)	(72, 0.1792523990664645)	(74, 0.18214343169114544)	(76, 0.1850021555903022)	(78, 0.18775557697663947)	(80, 0.1905724191945612)	(82, 0.19388944834837557)	(84, 0.1970592933081354)	(86, 0.19970860880111702)	(88, 0.20237348034712876)	(90, 0.2052046819986168)	(92, 0.20796049662388177)	(94, 0.2109400790888882)	(96, 0.2136923038557616)	(98, 0.21637632131319506)	(100, 0.21918598381433368)	(102, 0.22188675394426116)	(104, 0.22471675897628535)	(106, 0.2273768440444417)	(108, 0.23025471385502017)	(110, 0.23307035945347804)	(112, 0.2359578022197674)	(114, 0.23866335882755035)	(116, 0.2415160996293878)	(118, 0.24440473901514104)	(120, 0.24740346739156915)	(122, 0.25017124821147274)	(124, 0.2529294560756654)	(126, 0.25586715685943684)	(128, 0.25883955960766003)	(130, 0.26182392855052194)	(132, 0.2650260822358059)	(134, 0.26798053569207136)	(136, 0.2710989260148853)	(138, 0.27401867750669884)
