Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TCV_Control_1_R1	(1.0, 20.28077776336296)	(2.0, 7.860782727539618)	(3.0, 4.878709277772499)	(4.0, 3.5673734449858983)	(5.0, 2.667911847839993)	(6.0, 2.247077000948836)	(7.0, 1.838658720432118)	(8.0, 1.5817251241853594)	(9.0, 1.4734890232903568)	('>10', 18.267561496053894)	('>50', 6.373002311422645)	('>100', 13.58204403599311)	('>500', 5.20584235062607)	('>1k', 8.047069487165716)	('>5k', 1.3222741723993194)	('>10k+', 0.805701215981479)
TCV_Control_1_R2	(1.0, 23.11262296850863)	(2.0, 8.056761236585109)	(3.0, 5.039434266063594)	(4.0, 3.5696822905393666)	(5.0, 2.7395886561834732)	(6.0, 2.199734554255442)	(7.0, 1.8156595286620583)	(8.0, 1.5897123983243253)	(9.0, 1.2973464514551851)	('>10', 17.79107909236163)	('>50', 6.327836857376902)	('>100', 12.856195833487785)	('>500', 4.87930138697607)	('>1k', 6.994038510792191)	('>5k', 1.1827873898406331)	('>10k+', 0.5482185785872788)
TCV_Control_2_R1	(1.0, 19.198592713667026)	(2.0, 8.025190129561226)	(3.0, 5.203166855402513)	(4.0, 3.7246378881640343)	(5.0, 2.9058652869767165)	(6.0, 2.3826135365251258)	(7.0, 1.9430410016506199)	(8.0, 1.647142216916242)	(9.0, 1.549064345221408)	('>10', 20.290401314750152)	('>50', 7.306644918077245)	('>100', 14.19727397288063)	('>500', 4.289073053705458)	('>1k', 5.861959756810472)	('>5k', 0.9677848881074846)	('>10k+', 0.5075481215834335)
TCV_Control_2_R2	(1.0, 23.381987446964487)	(2.0, 8.13853856828965)	(3.0, 5.060812643310947)	(4.0, 3.633522424985372)	(5.0, 2.8565729256399224)	(6.0, 2.3090198834172173)	(7.0, 1.9541661058010518)	(8.0, 1.7166226171925874)	(9.0, 1.4148231947754584)	('>10', 19.604874852994968)	('>50', 6.991250530326791)	('>100', 13.09025718788344)	('>500', 3.872886843464845)	('>1k', 4.862873855029514)	('>5k', 0.7795354221747872)	('>10k+', 0.332255497748943)
TCV_Control_3_R1	(1.0, 17.822248441627657)	(2.0, 8.22882855099078)	(3.0, 5.3707981659066855)	(4.0, 3.90816816848806)	(5.0, 3.132188536427812)	(6.0, 2.443133605183192)	(7.0, 2.084744446099169)	(8.0, 1.8772968873149578)	(9.0, 1.5879620994765218)	('>10', 21.320509179717455)	('>50', 7.63846656801501)	('>100', 13.788015239824771)	('>500', 4.056767996423165)	('>1k', 5.3426255022595734)	('>5k', 0.8153356815872814)	('>10k+', 0.5829109306578971)
TCV_Control_3_R2	(1.0, 20.65167333034614)	(2.0, 8.27008158486692)	(3.0, 5.333556421661393)	(4.0, 3.92278205950597)	(5.0, 3.086665478240906)	(6.0, 2.4205849077925294)	(7.0, 1.9689773610968673)	(8.0, 1.7693501374966842)	(9.0, 1.562039820457637)	('>10', 21.046563680543944)	('>50', 7.243334239035529)	('>100', 13.050425580507227)	('>500', 3.723817533766087)	('>1k', 4.821480522987457)	('>5k', 0.691118238195768)	('>10k+', 0.4375491034991099)
TCV_Stressed_1_R1	(1.0, 20.000632923551052)	(2.0, 8.366428519862307)	(3.0, 5.445949230363321)	(4.0, 3.9796680700746276)	(5.0, 3.1578849866035763)	(6.0, 2.533144380542706)	(7.0, 2.131158906052608)	(8.0, 1.7973409772399092)	(9.0, 1.5951909555284693)	('>10', 21.00936647154306)	('>50', 7.00214950033986)	('>100', 13.178700095449605)	('>500', 4.138096417209145)	('>1k', 5.01143127199671)	('>5k', 0.569982851211486)	('>10k+', 0.0828744424314772)
TCV_Stressed_1_R2	(1.0, 23.261206630493845)	(2.0, 8.65366921855027)	(3.0, 5.4816300818938135)	(4.0, 3.9102546890878185)	(5.0, 3.09632034779303)	(6.0, 2.48725192069626)	(7.0, 1.9946199721367333)	(8.0, 1.8095480826492056)	(9.0, 1.5805183619124803)	('>10', 20.341347752537995)	('>50', 6.6537439076935225)	('>100', 12.356882101364747)	('>500', 3.638200833902493)	('>1k', 4.198459343892522)	('>5k', 0.5363467553954359)	('>10k+', 0.0)
TCV_Stressed_2_R1	(1.0, 19.80536583161312)	(2.0, 8.117942906260906)	(3.0, 5.0178079153819155)	(4.0, 3.7229698542947984)	(5.0, 2.909573335429343)	(6.0, 2.325485021081098)	(7.0, 2.0273247441407753)	(8.0, 1.7465679170999036)	(9.0, 1.4710917678588014)	('>10', 19.9515631540752)	('>50', 7.041189606985543)	('>100', 14.107803964746246)	('>500', 4.637832668313579)	('>1k', 5.966209837526907)	('>5k', 0.8744073820007383)	('>10k+', 0.2768640931911498)
TCV_Stressed_2_R2	(1.0, 23.705227740184533)	(2.0, 8.288270184741856)	(3.0, 5.090431945935409)	(4.0, 3.651194020570629)	(5.0, 2.9263765832700575)	(6.0, 2.2835581847939106)	(7.0, 1.9402566620428534)	(8.0, 1.5569108984370121)	(9.0, 1.4080231556567258)	('>10', 19.368733181279506)	('>50', 6.628801882534066)	('>100', 13.008848341173875)	('>500', 4.156795701569192)	('>1k', 5.158325354575143)	('>5k', 0.6528986781805685)	('>10k+', 0.17534748505446013)
TCV_Stressed_3_R1	(1.0, 22.604922539031396)	(2.0, 9.14755513939895)	(3.0, 5.877265865592562)	(4.0, 4.3147145610214865)	(5.0, 3.248122956250362)	(6.0, 2.6766355722911825)	(7.0, 2.2365533395318726)	(8.0, 1.9393863632044122)	(9.0, 1.7066823857517135)	('>10', 20.934593291844763)	('>50', 6.5689038123860035)	('>100', 11.286599581859704)	('>500', 3.154179512649592)	('>1k', 3.761358275869226)	('>5k', 0.5175012149817079)	('>10k+', 0.02502558833526193)
