Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
TCV_Control_1_R1	(1, 31.70789564988637)	(2, 31.71189783915568)	(3, 36.23224267299103)	(4, 36.50687784092311)	(5, 36.60960343552976)	(6, 41.01754113354011)	(7, 41.10202174698028)	(8, 41.22424394023137)	(9, 41.25295565686688)	(10, 41.28973229547826)	(15, 41.27612973491495)	(20, 41.234845377090735)	(25, 41.12464736561597)	(30, 41.08741178551186)	(35, 41.048544114145066)	(40, 41.03102689974482)	(45, 40.99529721696929)	(50, 40.97164012313745)	(55, 40.950993500868016)	(60, 40.909120676176414)	(65, 40.88017474590924)	(70, 40.82930885042006)	(75, 40.52945689696654)	(80, 40.76066797408829)	(85, 40.729240146461855)	(90, 40.672819015655854)	(95, 40.615162256562684)	(100, 40.5507678981267)	(105, 40.49052227786667)	(110, 40.354142906000085)	(115, 40.268368374837316)	(120, 40.084643431671665)	(125, 39.84864484173728)	(130, 39.5847436226994)	(135, 39.34265334070331)	(140, 39.01617688923656)	(145, 38.63401235317985)	(150, 38.376850659945234)
TCV_Control_1_R2	(1, 30.591198282321315)	(2, 30.463016150526467)	(3, 33.49588690996196)	(4, 35.18085487910911)	(5, 35.38903873308203)	(6, 38.08133102298864)	(7, 39.16264926755392)	(8, 39.33774390061395)	(9, 39.615944011628926)	(10, 39.27754592469466)	(15, 39.708770525827376)	(20, 39.678581701026225)	(25, 39.72824483872908)	(30, 39.551584325171355)	(35, 39.395395600054826)	(40, 39.309335263184124)	(45, 39.06207790394897)	(50, 38.847632691482254)	(55, 38.870624074709085)	(60, 38.85640830928508)	(65, 38.78535206528089)	(70, 38.64422863155088)	(75, 38.17158454884763)	(80, 38.539889843956914)	(85, 38.38400386619495)	(90, 38.21821742028371)	(95, 37.93083103646741)	(100, 37.504680146042936)	(105, 37.08072234337063)	(110, 36.63189014365728)	(115, 36.02414249291008)	(120, 35.43582402762071)	(125, 34.94480274908924)	(130, 34.34734754301195)	(135, 33.72285539537465)	(140, 33.11102656186004)	(145, 32.36666136494981)	(150, 32.350431905322615)
TCV_Control_2_R1	(1, 31.71167409698519)	(2, 31.71923135318556)	(3, 36.24091952323825)	(4, 36.50944043184081)	(5, 36.61353141339041)	(6, 41.038487954924065)	(7, 41.11893456160489)	(8, 41.23877722879548)	(9, 41.269143825570616)	(10, 41.304743602945344)	(15, 41.29242891289923)	(20, 41.2523506571257)	(25, 41.14266188397163)	(30, 41.10421006880283)	(35, 41.07451849493354)	(40, 41.053280641982894)	(45, 41.01473817208479)	(50, 40.98930374851514)	(55, 40.96532605063145)	(60, 40.92535836625227)	(65, 40.89484226182391)	(70, 40.84170476797548)	(75, 40.54806117014724)	(80, 40.76972962990338)	(85, 40.73590088163567)	(90, 40.67821648349358)	(95, 40.61898252332649)	(100, 40.554018106097416)	(105, 40.491964474296275)	(110, 40.354010980067116)	(115, 40.26422998967947)	(120, 40.08105024714733)	(125, 39.84194014176673)	(130, 39.58263484969952)	(135, 39.33470058775009)	(140, 39.004922857142255)	(145, 38.62547272808824)	(150, 38.374244643948025)
TCV_Control_2_R2	(1, 30.27185712898894)	(2, 30.502464313518377)	(3, 34.18859317126668)	(4, 34.40974825781826)	(5, 35.28418598265199)	(6, 37.6547326717328)	(7, 38.90013616108703)	(8, 39.26246211927383)	(9, 39.44677914591663)	(10, 39.102971390378215)	(15, 39.5197195031068)	(20, 39.53024775379481)	(25, 39.57077789759785)	(30, 39.39447567978939)	(35, 39.23057523952959)	(40, 39.127117708164214)	(45, 38.86893220521366)	(50, 38.63636876111731)	(55, 38.645769250126406)	(60, 38.62479825690224)	(65, 38.54745947544078)	(70, 38.39113171005564)	(75, 37.919608257856154)	(80, 38.27856569267057)	(85, 38.10833400192512)	(90, 37.92914660101622)	(95, 37.61730876116364)	(100, 37.1710015252316)	(105, 36.7235929596337)	(110, 36.25403980427002)	(115, 35.61215908820505)	(120, 34.99331955718377)	(125, 34.48710865322029)	(130, 33.88784459694655)	(135, 33.24157153816333)	(140, 32.60945784681435)	(145, 31.843541872903547)	(150, 31.82231403514203)
TCV_Control_3_R1	(1, 31.686958425241194)	(2, 31.682056039999818)	(3, 36.1433200703734)	(4, 36.45464120576234)	(5, 36.586721628821316)	(6, 40.98140227946122)	(7, 41.10491509855407)	(8, 41.20465203209321)	(9, 41.24709375362773)	(10, 41.27006059384464)	(15, 41.26219521256331)	(20, 41.23702016904232)	(25, 41.132269206868884)	(30, 41.05371444187155)	(35, 41.03700521447041)	(40, 41.04160777617189)	(45, 41.00462797976428)	(50, 40.974853576952285)	(55, 40.91909043151218)	(60, 40.89303834708868)	(65, 40.86816969889913)	(70, 40.76102626638048)	(75, 40.503986142639)	(80, 40.70067647710273)	(85, 40.668160357108164)	(90, 40.62476240351266)	(95, 40.50414163936144)	(100, 40.45302908321732)	(105, 40.30250642349811)	(110, 40.21386766608132)	(115, 40.16229448086604)	(120, 40.00347294137613)	(125, 39.75352326267573)	(130, 39.44982856079628)	(135, 39.1143446218802)	(140, 38.803715194309575)	(145, 38.35591312999212)	(150, 38.10660586853279)
TCV_Control_3_R2	(1, 31.020024291653453)	(2, 31.069911938635478)	(3, 35.19397541820302)	(4, 35.72268088594001)	(5, 35.761836989985895)	(6, 39.28888377606837)	(7, 40.103267698118266)	(8, 40.366778086718575)	(9, 40.42791745427376)	(10, 40.30630184504011)	(15, 40.19236149751307)	(20, 40.22552692335628)	(25, 40.193461748138084)	(30, 40.06505263609008)	(35, 39.93453483093403)	(40, 39.779365469336916)	(45, 39.599533933681116)	(50, 39.479154587610346)	(55, 39.43342185843372)	(60, 39.28096958799641)	(65, 39.24080351732558)	(70, 39.09783532250618)	(75, 38.53527695531081)	(80, 38.75116073144339)	(85, 38.59629949054059)	(90, 38.2612854325794)	(95, 37.78402808051605)	(100, 37.38730201006272)	(105, 36.758674930740916)	(110, 36.03845176640017)	(115, 35.27433893289218)	(120, 34.67117591035528)	(125, 33.9543270762671)	(130, 33.156968067365185)	(135, 32.537522405902486)	(140, 32.057092946389105)	(145, 31.51264841893506)	(150, 31.06652879319152)
TCV_Stressed_1_R1	(1, 31.694184802797427)	(2, 31.67789331409059)	(3, 36.18938334522068)	(4, 36.45830784857354)	(5, 36.57954601970307)	(6, 40.949189340344624)	(7, 41.075829251517895)	(8, 41.17316606839365)	(9, 41.215609405447864)	(10, 41.23608048388965)	(15, 41.23310252377272)	(20, 41.17809898770912)	(25, 41.06710740372036)	(30, 41.015467622594116)	(35, 40.99134274303346)	(40, 40.94316225157433)	(45, 40.92597815414223)	(50, 40.846493088815116)	(55, 40.84347158360762)	(60, 40.78167521274112)	(65, 40.75376252772128)	(70, 40.707048383277304)	(75, 40.42395437940759)	(80, 40.6428294721846)	(85, 40.5949194299147)	(90, 40.509492095644795)	(95, 40.45905028823525)	(100, 40.41864434803733)	(105, 40.32313564711374)	(110, 40.037200716226074)	(115, 40.01170675023772)	(120, 39.79516250845974)	(125, 39.48720499683925)	(130, 39.25127062260145)	(135, 38.95199809348636)	(140, 38.548661821009304)	(145, 38.138613654023295)	(150, 37.85378346650715)
TCV_Stressed_1_R2	(1, 31.078232010012112)	(2, 30.622178958022428)	(3, 34.046887712248285)	(4, 35.38468331945922)	(5, 35.58827105669112)	(6, 39.18536734734655)	(7, 39.239598729827094)	(8, 39.70254590258783)	(9, 39.85893797136272)	(10, 39.81531453658802)	(15, 39.70632217640084)	(20, 39.68587910060744)	(25, 39.62052088523567)	(30, 39.431155401426466)	(35, 39.34753872520763)	(40, 39.19100730436443)	(45, 38.90038382102263)	(50, 38.86794458081421)	(55, 38.66376378540967)	(60, 38.65332255555475)	(65, 38.55902634499856)	(70, 38.42717693001812)	(75, 37.86759991488362)	(80, 38.07027695348493)	(85, 37.828239489538944)	(90, 37.34705575730804)	(95, 36.96129062650724)	(100, 36.3985945101294)	(105, 35.744211631376444)	(110, 35.156208763244074)	(115, 34.439386293763434)	(120, 33.80538565796719)	(125, 33.26441193490376)	(130, 32.77728228269034)	(135, 32.16384783710898)	(140, 31.542774108615173)	(145, 30.95352328009411)	(150, 30.707880407106003)
TCV_Stressed_2_R1	(1, 31.69161694832456)	(2, 31.694065830057347)	(3, 36.20327979992906)	(4, 36.48194571665037)	(5, 36.594033899463575)	(6, 41.00356015829648)	(7, 41.108867194337556)	(8, 41.20381504781524)	(9, 41.23854649697071)	(10, 41.26294237525804)	(15, 41.24892717560616)	(20, 41.2092023004387)	(25, 41.06812252655766)	(30, 41.017514890373626)	(35, 41.01451992416879)	(40, 41.0000478121273)	(45, 40.974571180645555)	(50, 40.94334112141145)	(55, 40.908897593258416)	(60, 40.87517989139386)	(65, 40.8042215203012)	(70, 40.77922790665927)	(75, 40.48930843005489)	(80, 40.71085758414305)	(85, 40.67281056570951)	(90, 40.54718342821808)	(95, 40.504740259625265)	(100, 40.47203778885975)	(105, 40.38975069103577)	(110, 40.27330092121989)	(115, 40.1394939994081)	(120, 39.94620934168268)	(125, 39.70744217372339)	(130, 39.44210282129843)	(135, 39.123453358573386)	(140, 38.73871858042257)	(145, 38.33813057119098)	(150, 38.080537156733556)
TCV_Stressed_2_R2	(1, 30.549849874515303)	(2, 30.418362073021644)	(3, 34.81007150567133)	(4, 35.145267927645115)	(5, 35.590474028355764)	(6, 39.39394007492465)	(7, 39.73964453892314)	(8, 39.52655600138406)	(9, 39.862027358645854)	(10, 39.489753457619976)	(15, 39.55216891824978)	(20, 39.51127378275201)	(25, 39.524947270963324)	(30, 39.303135712586176)	(35, 39.12362158891058)	(40, 39.17771639439027)	(45, 39.071134187997245)	(50, 38.89094149492904)	(55, 38.82433409921766)	(60, 38.73425445270479)	(65, 38.70826076195271)	(70, 38.55426954542677)	(75, 38.01488580253606)	(80, 38.37638908014857)	(85, 38.1164091326189)	(90, 37.68957713813521)	(95, 37.29991200539111)	(100, 36.88315211488849)	(105, 36.2480638338089)	(110, 35.596327043566376)	(115, 35.05525478445557)	(120, 34.37479997428704)	(125, 33.62640893206547)	(130, 33.26205153993198)	(135, 32.66134982313246)	(140, 32.32565510966801)	(145, 31.669423711416744)	(150, 31.234310033285645)
