Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
TCV_Control_1_R1	(0.0, 174.0)	(1.0, 299.5)	(2.0, 448.0)	(3.0, 444.5)	(4.0, 445.5)	(5.0, 477.0)	(6.0, 485.5)	(7.0, 508.5)	(8.0, 538.0)	(9.0, 583.5)	(10.0, 622.5)	(11.0, 672.0)	(12.0, 736.5)	(13.0, 786.0)	(14.0, 834.0)	(15.0, 953.0)	(16.0, 1197.5)	(17.0, 1607.0)	(18.0, 2382.0)	(19.0, 3637.0)	(20.0, 5662.0)	(21.0, 8637.5)	(22.0, 13338.0)	(23.0, 21009.5)	(24.0, 33897.0)	(25.0, 53175.0)	(26.0, 75474.5)	(27.0, 109027.5)	(28.0, 161577.5)	(29.0, 225168.5)	(30.0, 295796.5)	(31.0, 352533.5)	(32.0, 398963.0)	(33.0, 456367.0)	(34.0, 505824.5)	(35.0, 575216.5)	(36.0, 701159.5)	(37.0, 818870.5)	(38.0, 949949.5)	(39.0, 1138722.5)	(40.0, 1376101.5)	(41.0, 1634779.5)	(42.0, 1907501.5)	(43.0, 2195949.0)	(44.0, 2447552.5)	(45.0, 2633300.0)	(46.0, 2765400.0)	(47.0, 2845615.5)	(48.0, 2767169.5)	(49.0, 2611118.5)	(50.0, 2423342.0)	(51.0, 2208546.0)	(52.0, 1956652.0)	(53.0, 1699693.0)	(54.0, 1469286.5)	(55.0, 1250523.5)	(56.0, 1082050.0)	(57.0, 938988.0)	(58.0, 778068.5)	(59.0, 599651.5)	(60.0, 487874.5)	(61.0, 374369.0)	(62.0, 252795.5)	(63.0, 174710.5)	(64.0, 115151.0)	(65.0, 89151.5)	(66.0, 75838.0)	(67.0, 50006.0)	(68.0, 36432.5)	(69.0, 48480.0)	(70.0, 67348.0)	(71.0, 54377.5)	(72.0, 26119.0)	(73.0, 12541.0)	(74.0, 11156.5)	(75.0, 9012.5)	(76.0, 6828.0)	(77.0, 2987.5)	(78.0, 496.0)	(79.0, 149.5)	(80.0, 114.0)	(81.0, 87.5)	(82.0, 71.0)	(83.0, 63.5)	(84.0, 49.5)	(85.0, 44.5)	(86.0, 46.5)	(87.0, 42.5)	(88.0, 48.0)	(89.0, 45.0)	(90.0, 32.0)	(91.0, 27.5)	(92.0, 21.5)	(93.0, 15.0)	(94.0, 13.5)	(95.0, 9.5)	(96.0, 10.5)	(97.0, 15.5)	(98.0, 15.5)	(99.0, 33.5)	(100.0, 172.0)
TCV_Control_1_R2	(0.0, 186.0)	(1.0, 283.5)	(2.0, 411.0)	(3.0, 417.5)	(4.0, 412.0)	(5.0, 482.5)	(6.0, 530.5)	(7.0, 517.5)	(8.0, 523.0)	(9.0, 569.5)	(10.0, 626.5)	(11.0, 670.0)	(12.0, 703.5)	(13.0, 783.0)	(14.0, 917.0)	(15.0, 1052.0)	(16.0, 1304.0)	(17.0, 1718.0)	(18.0, 2516.0)	(19.0, 3833.5)	(20.0, 5682.5)	(21.0, 8806.0)	(22.0, 13561.5)	(23.0, 20909.5)	(24.0, 33134.0)	(25.0, 51649.5)	(26.0, 73738.5)	(27.0, 106474.5)	(28.0, 156128.0)	(29.0, 217935.5)	(30.0, 286170.0)	(31.0, 343163.0)	(32.0, 392734.5)	(33.0, 449940.5)	(34.0, 500325.5)	(35.0, 567839.5)	(36.0, 687599.5)	(37.0, 803394.0)	(38.0, 931405.5)	(39.0, 1113781.5)	(40.0, 1342897.5)	(41.0, 1594897.0)	(42.0, 1859454.5)	(43.0, 2138594.0)	(44.0, 2387500.5)	(45.0, 2576207.0)	(46.0, 2712932.5)	(47.0, 2798541.0)	(48.0, 2738626.5)	(49.0, 2598824.5)	(50.0, 2424625.5)	(51.0, 2224476.0)	(52.0, 1984158.5)	(53.0, 1734638.5)	(54.0, 1510407.5)	(55.0, 1296262.5)	(56.0, 1125225.0)	(57.0, 974213.5)	(58.0, 814279.0)	(59.0, 641720.5)	(60.0, 523551.0)	(61.0, 407281.5)	(62.0, 285946.0)	(63.0, 204944.0)	(64.0, 140969.0)	(65.0, 108209.0)	(66.0, 90114.0)	(67.0, 62816.0)	(68.0, 46737.5)	(69.0, 54652.5)	(70.0, 69514.0)	(71.0, 57045.0)	(72.0, 30645.5)	(73.0, 16087.0)	(74.0, 13190.0)	(75.0, 10592.0)	(76.0, 8191.5)	(77.0, 4269.5)	(78.0, 1507.5)	(79.0, 834.0)	(80.0, 609.5)	(81.0, 506.0)	(82.0, 419.0)	(83.0, 354.0)	(84.0, 321.0)	(85.0, 285.5)	(86.0, 253.0)	(87.0, 235.0)	(88.0, 242.0)	(89.0, 235.5)	(90.0, 210.5)	(91.0, 203.0)	(92.0, 204.5)	(93.0, 199.0)	(94.0, 204.0)	(95.0, 210.0)	(96.0, 236.0)	(97.0, 297.5)	(98.0, 371.5)	(99.0, 560.5)	(100.0, 1115.5)
TCV_Control_2_R1	(0.0, 837.0)	(1.0, 1242.0)	(2.0, 1626.5)	(3.0, 1501.0)	(4.0, 1392.0)	(5.0, 1478.0)	(6.0, 1561.0)	(7.0, 1487.0)	(8.0, 1418.0)	(9.0, 1479.0)	(10.0, 1533.0)	(11.0, 1565.0)	(12.0, 1656.5)	(13.0, 1879.5)	(14.0, 2098.5)	(15.0, 2237.0)	(16.0, 2624.0)	(17.0, 3359.0)	(18.0, 5000.5)	(19.0, 7569.0)	(20.0, 10932.0)	(21.0, 15322.5)	(22.0, 21839.0)	(23.0, 33246.0)	(24.0, 52838.0)	(25.0, 80103.5)	(26.0, 108197.5)	(27.0, 149510.5)	(28.0, 216958.0)	(29.0, 299168.0)	(30.0, 387916.5)	(31.0, 455137.5)	(32.0, 505595.5)	(33.0, 567033.0)	(34.0, 618351.0)	(35.0, 684591.0)	(36.0, 798615.0)	(37.0, 909207.5)	(38.0, 1019266.0)	(39.0, 1196185.5)	(40.0, 1454172.0)	(41.0, 1735640.0)	(42.0, 2011450.5)	(43.0, 2309619.0)	(44.0, 2592210.5)	(45.0, 2792486.0)	(46.0, 2920858.0)	(47.0, 2949321.5)	(48.0, 2855203.5)	(49.0, 2723217.0)	(50.0, 2525089.5)	(51.0, 2285212.0)	(52.0, 1975440.5)	(53.0, 1634534.0)	(54.0, 1368204.0)	(55.0, 1145040.5)	(56.0, 951246.5)	(57.0, 791672.0)	(58.0, 655720.0)	(59.0, 516078.0)	(60.0, 389588.5)	(61.0, 263149.0)	(62.0, 158861.0)	(63.0, 102840.5)	(64.0, 67555.5)	(65.0, 42260.0)	(66.0, 30466.5)	(67.0, 18542.0)	(68.0, 11657.0)	(69.0, 9609.5)	(70.0, 9326.0)	(71.0, 6935.0)	(72.0, 3592.5)	(73.0, 1933.5)	(74.0, 1609.5)	(75.0, 1294.0)	(76.0, 978.5)	(77.0, 536.0)	(78.0, 236.0)	(79.0, 151.5)	(80.0, 130.5)	(81.0, 105.5)	(82.0, 86.0)	(83.0, 62.5)	(84.0, 53.5)	(85.0, 63.5)	(86.0, 59.5)	(87.0, 61.5)	(88.0, 55.0)	(89.0, 45.5)	(90.0, 49.0)	(91.0, 40.5)	(92.0, 28.5)	(93.0, 21.5)	(94.0, 13.5)	(95.0, 13.0)	(96.0, 13.5)	(97.0, 11.5)	(98.0, 10.5)	(99.0, 27.5)	(100.0, 132.5)
TCV_Control_2_R2	(0.0, 751.0)	(1.0, 975.0)	(2.0, 1250.0)	(3.0, 1231.0)	(4.0, 1192.0)	(5.0, 1283.0)	(6.0, 1372.5)	(7.0, 1392.5)	(8.0, 1375.0)	(9.0, 1378.0)	(10.0, 1394.0)	(11.0, 1438.0)	(12.0, 1583.0)	(13.0, 1771.5)	(14.0, 1962.5)	(15.0, 2206.5)	(16.0, 2594.5)	(17.0, 3398.5)	(18.0, 5097.5)	(19.0, 7310.5)	(20.0, 10464.5)	(21.0, 15046.5)	(22.0, 21568.5)	(23.0, 32597.0)	(24.0, 51153.0)	(25.0, 76608.0)	(26.0, 104003.5)	(27.0, 143472.5)	(28.0, 206692.5)	(29.0, 286457.5)	(30.0, 371485.5)	(31.0, 438009.5)	(32.0, 491812.5)	(33.0, 554481.0)	(34.0, 607355.0)	(35.0, 670167.5)	(36.0, 776817.5)	(37.0, 886599.0)	(38.0, 999239.5)	(39.0, 1170993.5)	(40.0, 1415879.5)	(41.0, 1685728.0)	(42.0, 1956868.0)	(43.0, 2246510.5)	(44.0, 2518535.5)	(45.0, 2722319.0)	(46.0, 2857136.0)	(47.0, 2894613.0)	(48.0, 2823997.5)	(49.0, 2710655.5)	(50.0, 2529880.5)	(51.0, 2306371.0)	(52.0, 2015908.0)	(53.0, 1693155.0)	(54.0, 1431219.5)	(55.0, 1209632.0)	(56.0, 1012083.5)	(57.0, 843672.0)	(58.0, 702278.0)	(59.0, 559683.0)	(60.0, 429687.5)	(61.0, 304800.5)	(62.0, 199976.5)	(63.0, 136507.0)	(64.0, 93526.0)	(65.0, 62786.0)	(66.0, 45811.5)	(67.0, 30528.5)	(68.0, 20789.5)	(69.0, 16451.0)	(70.0, 14242.0)	(71.0, 10599.5)	(72.0, 6602.5)	(73.0, 4329.0)	(74.0, 3340.5)	(75.0, 2536.0)	(76.0, 1982.0)	(77.0, 1367.5)	(78.0, 921.0)	(79.0, 683.0)	(80.0, 557.5)	(81.0, 506.5)	(82.0, 449.0)	(83.0, 375.5)	(84.0, 322.5)	(85.0, 310.0)	(86.0, 311.5)	(87.0, 290.0)	(88.0, 265.0)	(89.0, 263.5)	(90.0, 251.0)	(91.0, 244.0)	(92.0, 231.0)	(93.0, 217.5)	(94.0, 220.5)	(95.0, 232.0)	(96.0, 240.5)	(97.0, 274.0)	(98.0, 364.0)	(99.0, 620.0)	(100.0, 1269.0)
TCV_Control_3_R1	(0.0, 637.0)	(1.0, 951.0)	(2.0, 1241.0)	(3.0, 1176.0)	(4.0, 1157.0)	(5.0, 1262.5)	(6.0, 1324.0)	(7.0, 1302.5)	(8.0, 1336.0)	(9.0, 1414.5)	(10.0, 1468.0)	(11.0, 1508.0)	(12.0, 1613.0)	(13.0, 1744.5)	(14.0, 1853.5)	(15.0, 2125.0)	(16.0, 2626.5)	(17.0, 3280.0)	(18.0, 4728.5)	(19.0, 7149.0)	(20.0, 10430.5)	(21.0, 14810.5)	(22.0, 21300.5)	(23.0, 32431.5)	(24.0, 51276.5)	(25.0, 77547.0)	(26.0, 105424.0)	(27.0, 145939.0)	(28.0, 209887.5)	(29.0, 287673.5)	(30.0, 371323.5)	(31.0, 434976.5)	(32.0, 483470.5)	(33.0, 542906.0)	(34.0, 593041.0)	(35.0, 657725.5)	(36.0, 765908.0)	(37.0, 877795.0)	(38.0, 999934.0)	(39.0, 1186284.0)	(40.0, 1447427.0)	(41.0, 1730738.0)	(42.0, 2007715.5)	(43.0, 2307266.0)	(44.0, 2595804.0)	(45.0, 2799088.0)	(46.0, 2921125.5)	(47.0, 2939489.5)	(48.0, 2843026.0)	(49.0, 2702111.5)	(50.0, 2495967.5)	(51.0, 2250536.0)	(52.0, 1935812.0)	(53.0, 1598704.5)	(54.0, 1334484.5)	(55.0, 1111376.5)	(56.0, 912404.5)	(57.0, 749304.0)	(58.0, 616016.0)	(59.0, 481282.0)	(60.0, 359381.5)	(61.0, 242189.0)	(62.0, 147831.5)	(63.0, 95982.0)	(64.0, 62841.5)	(65.0, 38266.5)	(66.0, 27290.5)	(67.0, 16631.0)	(68.0, 10021.5)	(69.0, 6826.0)	(70.0, 5359.0)	(71.0, 3807.5)	(72.0, 2074.5)	(73.0, 1179.0)	(74.0, 933.0)	(75.0, 716.0)	(76.0, 520.5)	(77.0, 309.5)	(78.0, 171.0)	(79.0, 111.0)	(80.0, 99.0)	(81.0, 85.0)	(82.0, 56.5)	(83.0, 40.0)	(84.0, 28.5)	(85.0, 25.5)	(86.0, 25.0)	(87.0, 19.0)	(88.0, 16.0)	(89.0, 19.0)	(90.0, 21.5)	(91.0, 17.0)	(92.0, 14.5)	(93.0, 21.5)	(94.0, 28.0)	(95.0, 40.5)	(96.0, 51.0)	(97.0, 73.5)	(98.0, 133.5)	(99.0, 259.0)	(100.0, 1063.0)
TCV_Control_3_R2	(0.0, 659.0)	(1.0, 854.5)	(2.0, 1071.5)	(3.0, 1072.0)	(4.0, 1051.5)	(5.0, 1126.5)	(6.0, 1194.0)	(7.0, 1187.5)	(8.0, 1191.0)	(9.0, 1223.5)	(10.0, 1282.0)	(11.0, 1363.5)	(12.0, 1515.0)	(13.0, 1696.0)	(14.0, 1823.0)	(15.0, 2040.0)	(16.0, 2520.0)	(17.0, 3265.5)	(18.0, 4675.0)	(19.0, 6877.0)	(20.0, 10113.5)	(21.0, 14490.5)	(22.0, 20848.5)	(23.0, 31636.0)	(24.0, 49671.0)	(25.0, 74983.5)	(26.0, 102718.5)	(27.0, 142893.0)	(28.0, 204595.5)	(29.0, 279592.0)	(30.0, 361422.0)	(31.0, 426025.5)	(32.0, 476647.5)	(33.0, 536399.0)	(34.0, 586963.0)	(35.0, 648887.0)	(36.0, 755011.5)	(37.0, 866681.5)	(38.0, 985015.5)	(39.0, 1165063.0)	(40.0, 1417642.0)	(41.0, 1695118.5)	(42.0, 1970202.0)	(43.0, 2262146.0)	(44.0, 2545134.5)	(45.0, 2750332.5)	(46.0, 2871486.5)	(47.0, 2894191.5)	(48.0, 2812679.5)	(49.0, 2687628.5)	(50.0, 2495777.0)	(51.0, 2263255.0)	(52.0, 1960838.0)	(53.0, 1633679.5)	(54.0, 1374646.0)	(55.0, 1154631.0)	(56.0, 955979.0)	(57.0, 788088.0)	(58.0, 651339.5)	(59.0, 514805.5)	(60.0, 390912.0)	(61.0, 274494.0)	(62.0, 178921.0)	(63.0, 121461.0)	(64.0, 82474.5)	(65.0, 53742.5)	(66.0, 39001.5)	(67.0, 25968.5)	(68.0, 17330.0)	(69.0, 12540.0)	(70.0, 9669.0)	(71.0, 7113.0)	(72.0, 4698.0)	(73.0, 3216.0)	(74.0, 2418.0)	(75.0, 1872.0)	(76.0, 1456.5)	(77.0, 1047.0)	(78.0, 740.5)	(79.0, 602.5)	(80.0, 539.5)	(81.0, 452.5)	(82.0, 381.0)	(83.0, 356.0)	(84.0, 313.5)	(85.0, 287.0)	(86.0, 303.5)	(87.0, 302.0)	(88.0, 267.0)	(89.0, 242.5)	(90.0, 235.5)	(91.0, 245.0)	(92.0, 259.0)	(93.0, 257.5)	(94.0, 262.0)	(95.0, 268.5)	(96.0, 282.5)	(97.0, 308.0)	(98.0, 373.0)	(99.0, 573.0)	(100.0, 1185.0)
TCV_Stressed_1_R1	(0.0, 1143.0)	(1.0, 1282.5)	(2.0, 1378.5)	(3.0, 1225.0)	(4.0, 1143.0)	(5.0, 1223.5)	(6.0, 1257.0)	(7.0, 1188.0)	(8.0, 1204.0)	(9.0, 1271.5)	(10.0, 1294.0)	(11.0, 1346.0)	(12.0, 1396.5)	(13.0, 1548.0)	(14.0, 1768.0)	(15.0, 1903.0)	(16.0, 2227.5)	(17.0, 2972.5)	(18.0, 4376.5)	(19.0, 6216.0)	(20.0, 8491.0)	(21.0, 11724.5)	(22.0, 16671.5)	(23.0, 25380.5)	(24.0, 39423.5)	(25.0, 57724.0)	(26.0, 78106.5)	(27.0, 109083.5)	(28.0, 156836.0)	(29.0, 216309.0)	(30.0, 279854.5)	(31.0, 333812.5)	(32.0, 382012.0)	(33.0, 434655.0)	(34.0, 473314.0)	(35.0, 523562.0)	(36.0, 617022.0)	(37.0, 721607.5)	(38.0, 832793.0)	(39.0, 990677.0)	(40.0, 1212815.0)	(41.0, 1454842.0)	(42.0, 1684993.0)	(43.0, 1931727.5)	(44.0, 2173042.5)	(45.0, 2344081.0)	(46.0, 2460243.0)	(47.0, 2502294.5)	(48.0, 2448342.0)	(49.0, 2358941.5)	(50.0, 2209079.5)	(51.0, 2017102.0)	(52.0, 1788683.5)	(53.0, 1531104.5)	(54.0, 1308272.0)	(55.0, 1113434.5)	(56.0, 937249.0)	(57.0, 804610.5)	(58.0, 688764.0)	(59.0, 558415.0)	(60.0, 431793.0)	(61.0, 302149.5)	(62.0, 186050.5)	(63.0, 119744.5)	(64.0, 78936.5)	(65.0, 46679.5)	(66.0, 33442.0)	(67.0, 20288.0)	(68.0, 11994.5)	(69.0, 9183.5)	(70.0, 8435.5)	(71.0, 6236.0)	(72.0, 3309.5)	(73.0, 1871.0)	(74.0, 1417.0)	(75.0, 1080.0)	(76.0, 838.5)	(77.0, 484.0)	(78.0, 208.0)	(79.0, 133.0)	(80.0, 115.5)	(81.0, 92.5)	(82.0, 77.5)	(83.0, 58.5)	(84.0, 49.0)	(85.0, 41.5)	(86.0, 30.5)	(87.0, 25.5)	(88.0, 16.5)	(89.0, 17.5)	(90.0, 14.5)	(91.0, 7.5)	(92.0, 5.5)	(93.0, 1.5)	(94.0, 0.0)	(95.0, 2.5)	(96.0, 3.5)	(97.0, 1.5)	(98.0, 5.0)	(99.0, 29.0)	(100.0, 116.5)
TCV_Stressed_1_R2	(0.0, 1224.0)	(1.0, 1209.0)	(2.0, 1151.5)	(3.0, 1044.5)	(4.0, 1046.5)	(5.0, 1146.5)	(6.0, 1178.5)	(7.0, 1147.0)	(8.0, 1184.5)	(9.0, 1257.0)	(10.0, 1250.5)	(11.0, 1297.5)	(12.0, 1412.0)	(13.0, 1603.5)	(14.0, 1747.5)	(15.0, 1917.0)	(16.0, 2339.0)	(17.0, 3098.5)	(18.0, 4435.0)	(19.0, 6245.5)	(20.0, 8630.5)	(21.0, 11900.0)	(22.0, 16944.5)	(23.0, 25371.0)	(24.0, 38728.5)	(25.0, 56251.5)	(26.0, 76167.0)	(27.0, 106713.0)	(28.0, 152419.5)	(29.0, 208992.5)	(30.0, 270394.0)	(31.0, 325053.5)	(32.0, 374163.0)	(33.0, 426007.0)	(34.0, 465877.5)	(35.0, 514447.5)	(36.0, 603581.5)	(37.0, 705458.5)	(38.0, 814805.5)	(39.0, 967812.0)	(40.0, 1178812.5)	(41.0, 1410230.5)	(42.0, 1637215.5)	(43.0, 1880316.5)	(44.0, 2114942.5)	(45.0, 2286653.5)	(46.0, 2403794.0)	(47.0, 2451920.0)	(48.0, 2413645.5)	(49.0, 2336976.5)	(50.0, 2202011.0)	(51.0, 2023578.0)	(52.0, 1806967.0)	(53.0, 1565075.0)	(54.0, 1352806.0)	(55.0, 1161666.5)	(56.0, 985547.0)	(57.0, 845072.5)	(58.0, 726886.5)	(59.0, 598500.5)	(60.0, 471187.0)	(61.0, 343193.5)	(62.0, 226689.0)	(63.0, 154588.0)	(64.0, 106166.5)	(65.0, 68528.0)	(66.0, 49956.5)	(67.0, 33709.5)	(68.0, 22292.5)	(69.0, 16727.5)	(70.0, 14263.5)	(71.0, 10872.5)	(72.0, 6978.0)	(73.0, 4667.5)	(74.0, 3567.0)	(75.0, 2746.5)	(76.0, 2046.0)	(77.0, 1402.0)	(78.0, 987.5)	(79.0, 772.0)	(80.0, 610.0)	(81.0, 490.5)	(82.0, 417.0)	(83.0, 365.0)	(84.0, 321.5)	(85.0, 274.5)	(86.0, 247.0)	(87.0, 224.5)	(88.0, 199.5)	(89.0, 205.0)	(90.0, 193.0)	(91.0, 181.5)	(92.0, 189.5)	(93.0, 181.5)	(94.0, 180.5)	(95.0, 188.5)	(96.0, 206.5)	(97.0, 249.5)	(98.0, 298.5)	(99.0, 631.5)	(100.0, 1790.5)
TCV_Stressed_2_R1	(0.0, 995.0)	(1.0, 1209.0)	(2.0, 1323.5)	(3.0, 1146.0)	(4.0, 1093.0)	(5.0, 1160.5)	(6.0, 1205.0)	(7.0, 1191.0)	(8.0, 1180.0)	(9.0, 1183.5)	(10.0, 1217.0)	(11.0, 1273.0)	(12.0, 1354.5)	(13.0, 1512.5)	(14.0, 1654.0)	(15.0, 1794.0)	(16.0, 2098.5)	(17.0, 2715.0)	(18.0, 3954.5)	(19.0, 5691.0)	(20.0, 7943.5)	(21.0, 11086.0)	(22.0, 15867.0)	(23.0, 24267.0)	(24.0, 38463.5)	(25.0, 57125.0)	(26.0, 77488.5)	(27.0, 109034.0)	(28.0, 159528.5)	(29.0, 222200.0)	(30.0, 289682.0)	(31.0, 341226.0)	(32.0, 385461.0)	(33.0, 438429.0)	(34.0, 478426.0)	(35.0, 530353.0)	(36.0, 620018.5)	(37.0, 713660.0)	(38.0, 811926.0)	(39.0, 963859.5)	(40.0, 1185720.0)	(41.0, 1431148.5)	(42.0, 1671376.5)	(43.0, 1933160.5)	(44.0, 2192858.0)	(45.0, 2383640.0)	(46.0, 2521839.0)	(47.0, 2581189.0)	(48.0, 2529821.5)	(49.0, 2440401.5)	(50.0, 2290907.0)	(51.0, 2103673.0)	(52.0, 1857848.0)	(53.0, 1578629.5)	(54.0, 1348931.5)	(55.0, 1139802.5)	(56.0, 958097.0)	(57.0, 818317.5)	(58.0, 689300.0)	(59.0, 553354.5)	(60.0, 427566.5)	(61.0, 298241.0)	(62.0, 182928.0)	(63.0, 118259.5)	(64.0, 77799.5)	(65.0, 45309.0)	(66.0, 32128.5)	(67.0, 18901.0)	(68.0, 10725.5)	(69.0, 8171.0)	(70.0, 7812.0)	(71.0, 5993.5)	(72.0, 3211.5)	(73.0, 1750.0)	(74.0, 1431.0)	(75.0, 1158.0)	(76.0, 880.0)	(77.0, 474.0)	(78.0, 195.0)	(79.0, 129.0)	(80.0, 105.0)	(81.0, 84.0)	(82.0, 70.0)	(83.0, 60.5)	(84.0, 53.0)	(85.0, 39.5)	(86.0, 27.0)	(87.0, 21.5)	(88.0, 21.0)	(89.0, 17.0)	(90.0, 10.5)	(91.0, 10.0)	(92.0, 9.5)	(93.0, 5.5)	(94.0, 3.5)	(95.0, 5.5)	(96.0, 6.0)	(97.0, 6.0)	(98.0, 8.5)	(99.0, 23.0)	(100.0, 117.0)
TCV_Stressed_2_R2	(0.0, 1046.0)	(1.0, 1099.5)	(2.0, 1093.0)	(3.0, 1033.5)	(4.0, 1037.0)	(5.0, 1046.0)	(6.0, 1059.5)	(7.0, 1090.5)	(8.0, 1119.0)	(9.0, 1143.0)	(10.0, 1157.5)	(11.0, 1180.0)	(12.0, 1279.0)	(13.0, 1484.5)	(14.0, 1694.5)	(15.0, 1839.5)	(16.0, 2149.5)	(17.0, 2948.0)	(18.0, 4197.0)	(19.0, 5767.0)	(20.0, 8050.5)	(21.0, 11233.5)	(22.0, 16217.0)	(23.0, 24380.5)	(24.0, 37399.5)	(25.0, 55562.0)	(26.0, 75788.5)	(27.0, 106421.5)	(28.0, 154806.0)	(29.0, 214450.0)	(30.0, 278812.5)	(31.0, 331493.5)	(32.0, 377726.0)	(33.0, 429647.0)	(34.0, 471159.5)	(35.0, 521325.0)	(36.0, 606258.5)	(37.0, 698086.0)	(38.0, 797294.5)	(39.0, 945989.0)	(40.0, 1157506.5)	(41.0, 1393537.5)	(42.0, 1629086.5)	(43.0, 1883926.0)	(44.0, 2134942.0)	(45.0, 2329492.0)	(46.0, 2470137.5)	(47.0, 2529960.5)	(48.0, 2496101.5)	(49.0, 2423771.5)	(50.0, 2287979.0)	(51.0, 2109792.0)	(52.0, 1875442.0)	(53.0, 1611699.0)	(54.0, 1388086.0)	(55.0, 1184775.5)	(56.0, 1004295.5)	(57.0, 856808.5)	(58.0, 726788.5)	(59.0, 592435.0)	(60.0, 463556.5)	(61.0, 335190.0)	(62.0, 220492.5)	(63.0, 149965.5)	(64.0, 102264.5)	(65.0, 65256.0)	(66.0, 47420.0)	(67.0, 31247.0)	(68.0, 20336.0)	(69.0, 15281.5)	(70.0, 13131.0)	(71.0, 10075.5)	(72.0, 6389.5)	(73.0, 4181.0)	(74.0, 3165.0)	(75.0, 2435.5)	(76.0, 1883.0)	(77.0, 1255.5)	(78.0, 812.5)	(79.0, 605.0)	(80.0, 500.5)	(81.0, 427.0)	(82.0, 358.0)	(83.0, 306.0)	(84.0, 272.0)	(85.0, 242.0)	(86.0, 221.0)	(87.0, 203.5)	(88.0, 192.5)	(89.0, 184.5)	(90.0, 187.0)	(91.0, 181.0)	(92.0, 167.0)	(93.0, 166.0)	(94.0, 161.5)	(95.0, 159.5)	(96.0, 172.5)	(97.0, 189.0)	(98.0, 243.0)	(99.0, 465.0)	(100.0, 1077.0)
