Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
TCV_Control_1_R1	(11.0, 12.0)	(12.0, 35.0)	(13.0, 40.0)	(14.0, 55.0)	(15.0, 89.0)	(16.0, 109.0)	(17.0, 203.0)	(18.0, 470.0)	(19.0, 1299.0)	(20.0, 2801.0)	(21.0, 5368.0)	(22.0, 9841.0)	(23.0, 17661.0)	(24.0, 29648.0)	(25.0, 47362.0)	(26.0, 71905.0)	(27.0, 107003.0)	(28.0, 152151.0)	(29.0, 208878.0)	(30.0, 275365.0)	(31.0, 353677.0)	(32.0, 442875.0)	(33.0, 545966.0)	(34.0, 662001.0)	(35.0, 800121.0)	(36.0, 970846.0)	(37.0, 1202621.0)	(38.0, 1576503.0)	(39.0, 2310147.0)	(40.0, 4660133.0)	(41.0, 31951166.0)		
TCV_Control_1_R2	(10.0, 30.0)	(11.0, 224.0)	(12.0, 728.0)	(13.0, 2191.0)	(14.0, 7945.0)	(15.0, 25673.0)	(16.0, 61964.0)	(17.0, 111219.0)	(18.0, 156699.0)	(19.0, 194845.0)	(20.0, 228644.0)	(21.0, 263884.0)	(22.0, 298798.0)	(23.0, 339126.0)	(24.0, 382473.0)	(25.0, 433305.0)	(26.0, 488936.0)	(27.0, 550459.0)	(28.0, 616901.0)	(29.0, 690314.0)	(30.0, 773381.0)	(31.0, 873538.0)	(32.0, 996810.0)	(33.0, 1151000.0)	(34.0, 1346328.0)	(35.0, 1615663.0)	(36.0, 2008208.0)	(37.0, 2627394.0)	(38.0, 3721768.0)	(39.0, 5904390.0)	(40.0, 10620823.0)	(41.0, 9912690.0)	
TCV_Control_2_R1	(11.0, 16.0)	(12.0, 31.0)	(13.0, 55.0)	(14.0, 67.0)	(15.0, 129.0)	(16.0, 173.0)	(17.0, 352.0)	(18.0, 760.0)	(19.0, 1742.0)	(20.0, 3579.0)	(21.0, 6925.0)	(22.0, 12064.0)	(23.0, 19988.0)	(24.0, 32219.0)	(25.0, 50711.0)	(26.0, 76270.0)	(27.0, 110551.0)	(28.0, 156027.0)	(29.0, 212696.0)	(30.0, 280293.0)	(31.0, 360132.0)	(32.0, 450102.0)	(33.0, 551979.0)	(34.0, 670927.0)	(35.0, 808740.0)	(36.0, 982617.0)	(37.0, 1219040.0)	(38.0, 1595627.0)	(39.0, 2332166.0)	(40.0, 4691145.0)	(41.0, 32860747.0)		
TCV_Control_2_R2	(9.0, 2.0)	(10.0, 47.0)	(11.0, 289.0)	(12.0, 1083.0)	(13.0, 3275.0)	(14.0, 9932.0)	(15.0, 31712.0)	(16.0, 76205.0)	(17.0, 136058.0)	(18.0, 189690.0)	(19.0, 234238.0)	(20.0, 272907.0)	(21.0, 310434.0)	(22.0, 348415.0)	(23.0, 392934.0)	(24.0, 438623.0)	(25.0, 493128.0)	(26.0, 550027.0)	(27.0, 615298.0)	(28.0, 683879.0)	(29.0, 759515.0)	(30.0, 845419.0)	(31.0, 949370.0)	(32.0, 1076022.0)	(33.0, 1232473.0)	(34.0, 1436573.0)	(35.0, 1712515.0)	(36.0, 2117760.0)	(37.0, 2766730.0)	(38.0, 3900709.0)	(39.0, 6123865.0)	(40.0, 10529516.0)	(41.0, 9249227.0)
TCV_Control_3_R1	(10.0, 1.0)	(11.0, 13.0)	(12.0, 36.0)	(13.0, 78.0)	(14.0, 97.0)	(15.0, 131.0)	(16.0, 266.0)	(17.0, 433.0)	(18.0, 840.0)	(19.0, 1795.0)	(20.0, 3579.0)	(21.0, 6287.0)	(22.0, 10767.0)	(23.0, 17582.0)	(24.0, 28287.0)	(25.0, 44055.0)	(26.0, 67429.0)	(27.0, 99467.0)	(28.0, 143967.0)	(29.0, 199933.0)	(30.0, 270505.0)	(31.0, 353008.0)	(32.0, 450466.0)	(33.0, 563789.0)	(34.0, 693440.0)	(35.0, 845979.0)	(36.0, 1034159.0)	(37.0, 1294886.0)	(38.0, 1720194.0)	(39.0, 2601576.0)	(40.0, 5659062.0)	(41.0, 30602704.0)	
TCV_Control_3_R2	(9.0, 4.0)	(10.0, 57.0)	(11.0, 397.0)	(12.0, 1371.0)	(13.0, 3097.0)	(14.0, 6198.0)	(15.0, 14263.0)	(16.0, 31877.0)	(17.0, 57360.0)	(18.0, 86008.0)	(19.0, 116166.0)	(20.0, 146467.0)	(21.0, 181439.0)	(22.0, 219415.0)	(23.0, 264694.0)	(24.0, 313620.0)	(25.0, 368882.0)	(26.0, 430605.0)	(27.0, 497783.0)	(28.0, 573434.0)	(29.0, 657156.0)	(30.0, 758447.0)	(31.0, 881915.0)	(32.0, 1038312.0)	(33.0, 1239715.0)	(34.0, 1510109.0)	(35.0, 1884375.0)	(36.0, 2443465.0)	(37.0, 3344069.0)	(38.0, 4921452.0)	(39.0, 7650295.0)	(40.0, 10852995.0)	(41.0, 6219369.0)
TCV_Stressed_1_R1	(11.0, 25.0)	(12.0, 43.0)	(13.0, 75.0)	(14.0, 76.0)	(15.0, 108.0)	(16.0, 250.0)	(17.0, 461.0)	(18.0, 1171.0)	(19.0, 2708.0)	(20.0, 5134.0)	(21.0, 9056.0)	(22.0, 14416.0)	(23.0, 22606.0)	(24.0, 35358.0)	(25.0, 53220.0)	(26.0, 77596.0)	(27.0, 112633.0)	(28.0, 157987.0)	(29.0, 212661.0)	(30.0, 280091.0)	(31.0, 353627.0)	(32.0, 442713.0)	(33.0, 542958.0)	(34.0, 655585.0)	(35.0, 790032.0)	(36.0, 957407.0)	(37.0, 1181939.0)	(38.0, 1532773.0)	(39.0, 2219977.0)	(40.0, 4442511.0)	(41.0, 27033769.0)		
TCV_Stressed_1_R2	(9.0, 5.0)	(10.0, 64.0)	(11.0, 418.0)	(12.0, 1668.0)	(13.0, 4785.0)	(14.0, 13044.0)	(15.0, 34335.0)	(16.0, 71644.0)	(17.0, 117984.0)	(18.0, 161921.0)	(19.0, 197922.0)	(20.0, 233174.0)	(21.0, 271305.0)	(22.0, 310148.0)	(23.0, 355211.0)	(24.0, 404491.0)	(25.0, 457791.0)	(26.0, 517731.0)	(27.0, 578300.0)	(28.0, 646391.0)	(29.0, 721715.0)	(30.0, 807472.0)	(31.0, 911014.0)	(32.0, 1039968.0)	(33.0, 1196636.0)	(34.0, 1402094.0)	(35.0, 1677852.0)	(36.0, 2068734.0)	(37.0, 2679577.0)	(38.0, 3715272.0)	(39.0, 5584674.0)	(40.0, 8521587.0)	(41.0, 6434039.0)
TCV_Stressed_2_R1	(11.0, 13.0)	(12.0, 43.0)	(13.0, 47.0)	(14.0, 80.0)	(15.0, 128.0)	(16.0, 217.0)	(17.0, 445.0)	(18.0, 1018.0)	(19.0, 2419.0)	(20.0, 4841.0)	(21.0, 8478.0)	(22.0, 13820.0)	(23.0, 21383.0)	(24.0, 33865.0)	(25.0, 50911.0)	(26.0, 75785.0)	(27.0, 108196.0)	(28.0, 151839.0)	(29.0, 204572.0)	(30.0, 267921.0)	(31.0, 341063.0)	(32.0, 423054.0)	(33.0, 517513.0)	(34.0, 626345.0)	(35.0, 750592.0)	(36.0, 906486.0)	(37.0, 1127176.0)	(38.0, 1473099.0)	(39.0, 2158955.0)	(40.0, 4386968.0)	(41.0, 28127106.0)		
TCV_Stressed_2_R2	(9.0, 2.0)	(10.0, 41.0)	(11.0, 345.0)	(12.0, 1335.0)	(13.0, 3664.0)	(14.0, 8962.0)	(15.0, 24498.0)	(16.0, 57645.0)	(17.0, 101748.0)	(18.0, 145196.0)	(19.0, 183203.0)	(20.0, 220634.0)	(21.0, 259694.0)	(22.0, 300373.0)	(23.0, 345631.0)	(24.0, 393365.0)	(25.0, 445790.0)	(26.0, 504315.0)	(27.0, 565865.0)	(28.0, 631552.0)	(29.0, 702994.0)	(30.0, 788369.0)	(31.0, 889284.0)	(32.0, 1010337.0)	(33.0, 1159999.0)	(34.0, 1360127.0)	(35.0, 1622574.0)	(36.0, 1989967.0)	(37.0, 2571180.0)	(38.0, 3579705.0)	(39.0, 5527441.0)	(40.0, 9121037.0)	(41.0, 7267506.0)
