Sample	Unique Reads	Duplicate Reads
TCV_Control_1_R1	13640855.0	32765496.0
TCV_Control_1_R2	15008426.0	31397925.0
TCV_Control_2_R1	13659039.0	33828831.0
TCV_Control_2_R2	15605820.0	31882050.0
TCV_Control_3_R1	12967239.0	33747572.0
TCV_Control_3_R2	14261067.0	32453744.0
TCV_Stressed_1_R1	12361891.0	28777075.0
TCV_Stressed_1_R2	13723400.0	27415566.0
TCV_Stressed_2_R1	12257655.0	29526723.0
TCV_Stressed_2_R2	13890485.0	27893893.0
TCV_Stressed_3_R1	15183804.0	30353537.0
TCV_Stressed_3_R2	16705451.0	28831890.0
