Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TCV_Control_1_R1	TCV_Control_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46406351.0	6.9 Gbp	0.0	150.0	46.0	29.394370371309925	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Control_1_R2	TCV_Control_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46406351.0	6.9 Gbp	0.0	150.0	46.0	32.34131834614505	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Control_2_R1	TCV_Control_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47487870.0	7.1 Gbp	0.0	150.0	45.0	28.76321535800677	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TCV_Control_2_R2	TCV_Control_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47487870.0	7.1 Gbp	0.0	150.0	45.0	32.86274916447679	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Control_3_R1	TCV_Control_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46714811.0	7 Gbp	0.0	150.0	45.0	27.758302815057768	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TCV_Control_3_R2	TCV_Control_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46714811.0	7 Gbp	0.0	150.0	45.0	30.527933157368793	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_1_R1	TCV_Stressed_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41138966.0	6.1 Gbp	0.0	150.0	46.0	30.049104266410954	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_1_R2	TCV_Stressed_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41138966.0	6.1 Gbp	0.0	150.0	46.0	33.358638980651655	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_2_R1	TCV_Stressed_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41784378.0	6.2 Gbp	0.0	150.0	46.0	29.335495952414327	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_2_R2	TCV_Stressed_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41784378.0	6.2 Gbp	0.0	150.0	46.0	33.243248298151435	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_3_R1	TCV_Stressed_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45537341.0	6.8 Gbp	0.0	150.0	45.0	33.34363149354869	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
TCV_Stressed_3_R2	TCV_Stressed_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45537341.0	6.8 Gbp	0.0	150.0	46.0	36.68516994645684	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
