Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
TCV_Control_1_R1	70.60562962869008	46.0	150.0	150	18.181818181818183	46.406351
TCV_Control_1_R2	67.65868165385496	46.0	150.0	150	18.181818181818183	46.406351
TCV_Control_2_R1	71.23678464199322	45.0	150.0	150	18.181818181818183	47.48787
TCV_Control_2_R2	67.13725083552322	45.0	150.0	150	18.181818181818183	47.48787
TCV_Control_3_R1	72.24169718494224	45.0	150.0	150	18.181818181818183	46.714811
TCV_Control_3_R2	69.47206684263121	45.0	150.0	150	18.181818181818183	46.714811
TCV_Stressed_1_R1	69.95089573358905	46.0	150.0	150	18.181818181818183	41.138965999999996
TCV_Stressed_1_R2	66.64136101934835	46.0	150.0	150	18.181818181818183	41.138965999999996
TCV_Stressed_2_R1	70.66450404758567	46.0	150.0	150	18.181818181818183	41.784378
TCV_Stressed_2_R2	66.75675170184857	46.0	150.0	150	18.181818181818183	41.784378
TCV_Stressed_3_R1	66.65636850645132	45.0	150.0	150	27.27272727272727	45.537341
TCV_Stressed_3_R2	63.31483005354316	46.0	150.0	150	18.181818181818183	45.537341
