"GeneID","GeneSymbol","Full_Name","Subcellular_Location","Biological_Role","Degree","Betweenness","Pooled_log2FC","FDR","Regulation"
"AT4G17490","CLPB1","Caseinolytic peptidase B1 / Hsp101","Cytoplasm / Nucleus","Protein disaggregation & acquired thermotolerance",13,0.029123,1.03629403344795,0.000400743188261015,"Upregulated"
"AT5G47230","BIP2","Luminal-binding protein 2 / HSP70 family","Endoplasmic Reticulum","Endoplasmic reticulum unfolded protein response (UPR)",11,0.017027,0.969676498515326,0.355483199690867,"Not_Significant"
"AT1G76600","Hsp90.1","Heat shock protein 90.1","Cytoplasm / Nucleus","Kinase/NLR chaperone and immune signal transduction",8,0.013606,1.22438157221812,0.0264204975600117,"Upregulated"
"AT1G13260","CPN60B1","Chaperonin 60 beta 1","Chloroplast","Chloroplast protein folding & RuBisCO assembly",9,0.019044,1.49000300555736,0.0498277975340568,"Upregulated"
"AT5G27420","Hsp70-1","Heat shock 70 kDa protein 1","Cytoplasm / Nucleus","General cellular proteostasis & stress recovery",8,0.012002,1.20287239312885,0.0547790412665574,"Not_Significant"
"AT4G27410","Hsp21","Plastidial small heat shock protein 21","Chloroplast","Protects photosystem II against oxidative and heat strain",10,0.018814,1.70966088359147,0.0188321021526247,"Upregulated"
"AT3G07350","ROF1","Peptidyl-prolyl cis-trans isomerase FKBP62","Cytoplasm","Co-chaperone of Hsp90; sustains HSFA2 heat shock factor transcription",5,0.010407,1.34123691106163,0.303986578960843,"Not_Significant"
"AT2G47190","HSP18.2","Class I small heat shock protein 18.2","Cytoplasm","High-efficiency prevention of protein aggregation",6,0.000957,1.96767237202403,0.0214343651812296,"Upregulated"
"AT5G61600","HSP70-15","Heat shock protein 70-15","Cytoplasm / Mitochondria","Organellar chaperone machinery",6,0.003711,1.22005233306414,0.00506950434679974,"Upregulated"
"AT1G21910","ROF2","Peptidyl-prolyl cis-trans isomerase FKBP65","Cytoplasm","Modulator/repressor of ROF1-Hsp90 stress signal termination",6,0.013999,-0.0346066636399008,0.981672937197447,"Not_Significant"
